"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"WIWYp_zKsBc","ഇത് Depression തന്നെയാണോ? Interview for mental health awareness @iamwithdhanyavarma","I AM with Dhanya Varma",2024-12-18,85016,1797,136,"what is deptesson, depression causes and symptoms, tpes of depression, depression effects, mood disorders and depression, personality disorders and depresion, post partum depression, pre menstrual dysphoric disorder, childhood depression, anhedonia, dysthmia, cyclothmia, mental health awarenss, mental wellbeing, mental health, i am with dhanya varma, zaileshia, psychology, psychologist, therapy","PT18M58S"
"ZA8Y2mYe2p0","Mental Health Awareness | INFOMERCIAL","Terrence Sean",2022-11-10,84739,1255,97,NA,"PT3M6S"
"m5CPdW1BGb4","Why So Many Women Are Mocking Men’s Mental Health","Misha Petrov",2025-06-20,271347,13419,4034,NA,"PT18M42S"
"-n29bfklVYw","Men's Mental Health Awareness Month.","2Vers ",2025-06-02,37511,3428,649,NA,"PT1M35S"
"-XfeLUWgp5w","Day in the life of a psyc ward patient","Mental Health With Alana",2022-12-12,1376151,31247,1840,"psychosis, psycroomtour, psycward, psycwarddayinthelife, Bipolar, mania, depression","PT21S"
"1r_E8pG5tDE","#mentalhealthawareness #motivation #doctorpatient #samyakrehabilitationcentre #awareness","Samyak Mental Health & Rehabilitation Center",2025-07-08,626,4,0,NA,"PT15S"
"867YRqwOfag","Schizophrenia real patients video 27 #mentalhealth #schizophrenia  #mentalhealthmatters","SchizophrenicNYC",2025-11-12,1668,70,9,NA,"PT16S"
"0tyAph-9XIk","Mental Health Day 2025 || Theme - Access to Services - Mental Health in Catastrophes & Emergencies","SheelTalks",2025-10-07,2837,39,0,"Sheel Talks, mental health day 2025 theme, World Mental Health Day 2025 video in English, essay on world mental health day, theme of mental health day, Speech on mental health day 2025, English video on mental health with theme 2025, mental health day celebration ideas, Access to Services - Mental Health in Catastrophes & Emergencies, Mental health tips for a productive workplace, 2025 theme on World mental health day, safety days videos in English, health day videos in English","PT8M41S"
"h31NBXCmacI","Depression Short Film Mental Health awareness | Motivational Video | Short Movies | Content Ka Keeda","ContentkaKeeda",2021-07-29,1104727,51489,2329,"short film, short film depression, mental health, mental health awareness, hindi short film depression, short movies mental health, motivational videos, motivational short film, Depression short movies, short film hindi award winning, hindi short film, Depression hindi short film, Depression motivation, Content ka keeda, hindi movies 2021, hindi short movie, hindi short movies, Contentkakeeda, depression, Depression short films","PT14M48S"
"zm-SlK_Xa54","Unfiltered Conversations on Mental Health","Exhale By Lohli",2025-07-04,19088,953,168,NA,"PT1H21M23S"
